day,2.5,10,50,90,97.5
161,19.873,20.857,22.428,24.151,25.355
162,19.982,20.966,22.536,24.259,25.463
163,20.091,21.075,22.645,24.367,25.57
164,20.199,21.183,22.753,24.475,25.678
165,20.308,21.292,22.862,24.583,25.785
166,20.416,21.4,22.97,24.692,25.893
167,20.523,21.508,23.079,24.8,26.002
168,20.631,21.616,23.187,24.908,26.11
169,20.738,21.724,23.296,25.017,26.219
170,20.845,21.832,23.404,25.127,26.329
171,20.952,21.939,23.513,25.237,26.439
172,21.059,22.047,23.623,25.347,26.55
173,21.166,22.155,23.733,25.458,26.662
174,21.272,22.264,23.843,25.571,26.776
175,21.379,22.372,23.954,25.684,26.891
176,21.487,22.482,24.067,25.799,27.007
177,21.595,22.592,24.18,25.915,27.125
178,21.704,22.704,24.296,26.034,27.245
179,21.814,22.818,24.413,26.154,27.367
180,21.927,22.933,24.533,26.278,27.492
181,22.041,23.051,24.656,26.403,27.62
182,22.157,23.171,24.781,26.532,27.751
183,22.276,23.294,24.909,26.664,27.884
184,22.397,23.419,25.04,26.798,28.02
185,22.52,23.547,25.173,26.935,28.158
186,22.645,23.677,25.309,27.074,28.298
187,22.773,23.81,25.448,27.215,28.44
188,22.902,23.945,25.588,27.359,28.584
189,23.034,24.082,25.731,27.504,28.729
190,23.168,24.22,25.875,27.65,28.875
191,23.302,24.36,26.021,27.797,29.021
192,23.438,24.501,26.167,27.944,29.168
193,23.573,24.642,26.314,28.092,29.314
194,23.708,24.783,26.46,28.239,29.459
195,23.843,24.923,26.605,28.384,29.603
196,23.977,25.062,26.749,28.529,29.746
197,24.109,25.199,26.892,28.671,29.887
198,24.239,25.335,27.033,28.813,30.026
199,24.368,25.47,27.173,28.953,30.164
200,24.495,25.603,27.311,29.091,30.301
201,24.62,25.733,27.448,29.228,30.436
202,24.743,25.862,27.582,29.363,30.569
203,24.863,25.988,27.715,29.497,30.702
204,24.981,26.113,27.847,29.63,30.833
205,25.097,26.236,27.977,29.761,30.964
206,25.211,26.357,28.106,29.892,31.094
207,25.324,26.478,28.234,30.023,31.224
208,25.436,26.598,28.363,30.154,31.354
209,25.548,26.718,28.491,30.285,31.484
210,25.659,26.837,28.62,30.416,31.615
211,25.769,26.956,28.748,30.548,31.747
212,25.88,27.076,28.877,30.68,31.878
213,25.991,27.196,29.007,30.813,32.01
214,26.102,27.316,29.136,30.945,32.142
215,26.214,27.436,29.266,31.077,32.273
216,26.327,27.558,29.396,31.209,32.404
217,26.441,27.68,29.526,31.341,32.534
218,26.555,27.802,29.656,31.472,32.663
219,26.671,27.925,29.786,31.603,32.792
220,26.787,28.048,29.916,31.733,32.92
221,26.903,28.171,30.045,31.862,33.047
222,27.02,28.293,30.174,31.991,33.172
223,27.137,28.416,30.301,32.118,33.297
224,27.253,28.538,30.428,32.244,33.421
225,27.369,28.659,30.554,32.369,33.544
226,27.485,28.779,30.679,32.494,33.666
227,27.6,28.899,30.803,32.617,33.788
228,27.715,29.018,30.926,32.74,33.91
229,27.829,29.136,31.048,32.863,34.032
230,27.942,29.253,31.169,32.986,34.154
231,28.054,29.369,31.29,33.109,34.277
232,28.165,29.484,31.41,33.231,34.4
233,28.275,29.599,31.529,33.354,34.524
234,28.385,29.713,31.648,33.477,34.649
235,28.495,29.826,31.767,33.599,34.774
236,28.604,29.939,31.885,33.722,34.899
237,28.714,30.052,32.003,33.844,35.024
238,28.824,30.165,32.12,33.966,35.15
239,28.934,30.278,32.237,34.088,35.275
240,29.044,30.39,32.353,34.209,35.4
241,29.155,30.502,32.469,34.331,35.525
242,29.265,30.614,32.585,34.451,35.65
243,29.376,30.726,32.7,34.571,35.775
244,29.486,30.837,32.814,34.691,35.899
245,29.596,30.948,32.927,34.809,36.022
246,29.706,31.058,33.039,34.927,36.145
247,29.815,31.167,33.151,35.045,36.268
248,29.923,31.276,33.262,35.162,36.39
249,30.031,31.384,33.372,35.279,36.513
250,30.137,31.49,33.482,35.395,36.635
251,30.242,31.596,33.591,35.511,36.758
252,30.346,31.7,33.699,35.628,36.882
253,30.448,31.803,33.806,35.744,37.006
254,30.548,31.905,33.913,35.86,37.129
255,30.648,32.006,34.019,35.975,37.253
256,30.746,32.106,34.124,36.09,37.376
257,30.843,32.205,34.228,36.204,37.499
258,30.939,32.302,34.331,36.317,37.621
259,31.034,32.399,34.432,36.429,37.741
260,31.128,32.495,34.533,36.54,37.86
261,31.222,32.589,34.633,36.649,37.978
262,31.314,32.683,34.731,36.757,38.094
263,31.406,32.776,34.828,36.863,38.209
264,31.497,32.867,34.924,36.968,38.321
265,31.587,32.958,35.018,37.071,38.432
266,31.676,33.048,35.111,37.173,38.541
267,31.765,33.136,35.203,37.273,38.648
268,31.853,33.224,35.293,37.371,38.754
269,31.941,33.311,35.382,37.467,38.857
270,32.028,33.398,35.471,37.562,38.959
271,32.115,33.483,35.558,37.656,39.059
272,32.201,33.568,35.644,37.749,39.158
273,32.287,33.653,35.729,37.84,39.255
274,32.373,33.737,35.814,37.93,39.351
275,32.459,33.821,35.898,38.02,39.446
276,32.544,33.904,35.981,38.108,39.54
277,32.629,33.987,36.064,38.196,39.634
278,32.714,34.069,36.146,38.284,39.728
279,32.798,34.151,36.228,38.372,39.821
280,32.881,34.232,36.31,38.459,39.915
281,32.963,34.313,36.391,38.547,40.008
282,33.045,34.394,36.472,38.634,40.103
